material_family,scenario_family,scenario_id,variant,current_a,leg,signed_branch_current_a,temperature_minimum_k,temperature_maximum_k,c1_minimum,c1_maximum,c0_minimum,c0_maximum,integrating_factor_ratio,positive_c0_supremum,poincare_eta,coercivity_margin_lower_bound,liouville_potential_minimum,liouville_potential_maximum,liouville_poincare_eta,liouville_coercivity_margin_lower_bound,at_least_one_analytic_sufficient_condition_passes,homogeneous_shooting_determinant,homogeneous_shooting_determinant_absolute,baseline_energy_residual_fraction
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.0,p,-3.0,309.894134846523,379.7256569315958,-0.5401206728069451,-0.40793996952963907,1.3898238709645034,2.833967216585582,1.6640494968777866,2.833967216585582,0.47781669145795397,0.522183308542046,1.5181128029506772,2.7643683030030775,0.28008906848363246,0.7199109315163675,True,0.8125189648285829,0.8125189648285829,2.7849431476059834e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.0,n,3.0,309.894134846523,370.75962603026943,-0.5349100942406989,-0.4195091842617901,0.7385423405195639,1.4891561022827215,1.661695716721376,1.4891561022827215,0.25072173271905124,0.7492782672809488,0.841980392064844,1.4733639031465766,0.14928297460270587,0.8507170253972941,True,1.0134656092893197,1.0134656092893197,1.567563955506472e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-2.95,p,-2.95,309.894134846523,378.6007548063859,-0.5868012977172511,-0.4571374552986598,1.3438824707853987,2.704930441114543,1.758134178500634,2.704930441114543,0.48184612733468546,0.5181538726653145,1.488686953484499,2.619561407021894,0.2654170623832461,0.7345829376167539,True,0.8570192690764898,0.8570192690764898,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,original,-2.95,n,2.95,309.894134846523,369.67259803599444,-0.45783345350849936,-0.35493281383510134,0.7141294131523895,1.439929945128836,1.533912779713065,1.439929945128836,0.2237908283822263,0.7762091716177737,0.7944703759997248,1.454769716533263,0.1473989896061784,0.8526010103938216,True,0.9787465890004735,0.9787465890004735,8.085367420521517e-17
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-2.95,p,-2.95,309.894134846523,378.21991962204896,-0.5287771110445285,-0.40114097003747845,1.3438824707853987,2.6930233352485398,1.6470335640414642,2.6930233352485398,0.4494100920004114,0.5505899079995886,1.4655134650535562,2.62610998098869,0.2660805716487312,0.7339194283512688,True,0.8276873357267426,0.8276873357267426,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-2.95,n,2.95,309.894134846523,369.95755376406623,-0.52501068988638,-0.41251736452409365,0.7141294131523895,1.4399302344408826,1.6459034995056254,1.4399302344408826,0.24012980820676227,0.7598701917932378,0.8129327538445899,1.4224507872292755,0.14412439743504538,0.8558756025649547,True,1.0167836655380247,1.0167836655380247,8.003096254422984e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-2.9,p,-2.9,309.894134846523,377.16785272528153,-0.5758594644301358,-0.44938936283597053,1.2987131949790527,2.5708866584298398,1.7395609633849722,2.5708866584298398,0.45313002330652313,0.5468699766934768,1.4359294266375373,2.4885059933906755,0.25213837275139483,0.7478616272486052,True,0.8714848633289085,0.8714848633289085,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,original,-2.9,n,2.9,309.894134846523,368.9258232019389,-0.4484285141069433,-0.34891700343111653,0.6901267870855037,1.391534088053609,1.5208189584122802,1.391534088053609,0.21442312542489425,0.7855768745751057,0.766906073823544,1.403121217791002,0.14216590258026274,0.8578340974197373,True,0.982732302765663,0.982732302765663,1.651108981512006e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-2.9,p,-2.9,309.894134846523,376.80382586663154,-0.5177244001848785,-0.3943419705453178,1.2987131949790527,2.560003556494299,1.6304356946136382,2.560003556494299,0.4229066340678731,0.5770933659321269,1.4140530910717388,2.495678742188197,0.2528651241495289,0.7471348758504711,True,0.8418968220772989,0.8418968220772989,7.311516425802935e-17
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-2.9,n,2.9,309.894134846523,369.197205595728,-0.5151755794054026,-0.4055255447863972,0.6901267870855037,1.391533931074369,1.6303437227920259,1.391533931074369,0.2298652020266186,0.7701347979733815,0.7844923491466022,1.372551085504878,0.1390685005929298,0.8609314994070703,True,1.02018006865305,1.02018006865305,1.6345399421791114e-16
